work_key	canonical	htid_count	pd_count	record_count	matched_oclc	oclc_tried	sample_htids
OL3863983W	0	2	2	1	1335724	5	uc2.ark:/13960/t77s7rn5h|uc1.$b684713
OL3863989W	0	1	0	1	1219624	6	pst.000065314746
OL3863992W	0	9	9	1	1191646	5	uc2.ark:/13960/t9668hk5g|uc1.b3327635|uc2.ark:/13960/t2k64k49c
OL3863995W	0	2	2	1	13307578	4	uc2.ark:/13960/t7pn93h96|uiug.30112069651278
OL3864049W	0	2	0	1	1523951	1	uc1.$b103822|mdp.39015014502242
OL3864052W	0	1	1	1	1727487	1	uc1.$b103828
OL3864055W	0	1	0	1	223091	1	uc1.$b275435
OL3864061W	0	1	0	1	8957892	3	uc1.b4938189
OL3864064W	0	1	0	1	1133211	1	inu.32000009138597
OL3864073W	0	1	0	1	1511824	3	uc1.$b243794
OL3864082W	0	2	0	1	1151238	4	uc1.$b243797|mdp.39015008711304
OL3864084W	0	1	0	1	1524045	1	uc1.$b103821
OL3864085W	0	1	1	1	2370438	2	uc1.$b250320
OL3864089W	0	2	0	1	4127021	2	uc1.$b300990|mdp.39015001793648
OL3864106W	0	1	1	1	1136909	1	uc1.$b243795
OL3864107W	0	1	0	1	1727485	2	uc1.$b103824
OL38653458W	0	1	1	1	23627300	2	mdp.39015070310852
OL38654601W	0	1	1	1	11928555	10	mdp.39015063837598
OL38658577W	0	2	2	1	7041597	1	mdp.39015000543168|uc1.$b604895
OL38663W	0	0	0	0		10	
OL38665162W	0	0	0	0		1	
OL38671740W	0	0	0	0		1	
OL38672W	0	5	5	1	283972	2	mdp.39015008531355|coo1.ark:/13960/t6j10m400|njp.32101067487593
OL38677284W	0	1	1	1	1002789	6	mdp.39015002141045
OL38677975W	0	0	0	0		2	
OL38685583W	0	2	0	1	875764	1	mdp.39015031323291|uc1.$b74559
OL38687610W	0	3	3	1	6924829	3	hvd.hn35zr|nyp.33433075738983|hvd.hn361v
OL38687644W	0	0	0	0		2	
OL38692245W	0	1	1	1	5694697	3	mdp.39015063904042
OL38692251W	0	0	0	0		1	
OL38693754W	0	0	0	0		2	
