work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids
OL3967810W	2	1	South Mountain sketches;	1920	0.81	1.0	uc2.ark+=13960=t3028sh31|uva.x000546618
OL3967811W	1	1	More Pennsylvania mountain stories	1912	0.83	1.0	uc2.ark+=13960=t9f47j96w
OL3967813W	2	1	Tales of the Bald Eagle Mountainsin Central Pennsylvania	1912	0.81	1.0	uc2.ark+=13960=t5p84526h|yale.39002015296198
OL3971856W	1	1	That Christmas in Peace Haven and Three Eyes	1916	0.78	1.0	njp.32101067645190
OL3971872W	1	1	The harvest of the sea;	1905	0.79	1.0	nyp.33433074859731
OL3971876W	2	1	Labrador days;	1919	0.89	1.0	mdp.39015063552270|uc2.ark+=13960=t1xd0t733
OL3971882W	2	1	Tales of the Labrador	1916	0.88	1.0	mdp.39015063553468|uc2.ark+=13960=t4pk0d55k
OL3971885W	4	1	Down North on the Labrador	1911	0.83	1.0	loc.ark+=13960=t0ht3dw5w|mdp.39015011951772|uc2.ark+=13960=t13n22v0b|yale.39002024997737
OL3979205W	1	1	Grania	1892	0.88	1.0	mdp.39015063933272
OL3979207W	1	1	Maelcho	1894	0.89	1.0	njp.32101068972809
OL3979208W	2	1	With Essex in Ireland;being extracts from a diary kept in Ireland during the year 1599	1890	0.9	1.0	mdp.39015063932985|uc2.ark+=13960=t5m906m1w
OL3979210W	2	1	Hurrish	1888	0.89	1.0	njp.32101068972817|uc2.ark+=13960=t4dn4191m
OL40001620W	1	1	Andronike	1899	0.89	1.0	nyp.33433081616124
OL40063706W	1	1	Tales of the South	1912	0.85	1.0	njp.32101065705897
OL4014985W	1	1	In the line	1905	0.88	1.0	nyp.33433082532031
OL4019985W	1	1	Cyparissus;	1897	0.82	1.0	nyp.33433075737597
OL4020000W	2	1	Prusias;	1884	0.89	1.0	njp.32101064140336|njp.32101064140344
OL4020007W	2	1	Quintus Claudius;	1882	0.9	1.0	uiuo.ark+=13960=t4sj1dv41|uiuo.ark+=13960=t6n01326r
OL4028515W	4	1	The Charles men	1920	0.82	1.0	mdp.39015005600187|mdp.39015005600195|uc2.ark+=13960=t7tm75f4v|uc2.ark+=13960=t85h7gc8z
OL40292833W	2	1	The strangers' banquet	1919	0.88	1.0	mdp.39015051144932|nyp.33433074861836
OL4072351W	1	1	The Bobbsey twins on a houseboat	1915	0.83	1.0	nyp.33433082332044
OL4072355W	1	1	The Bobbsey twins on Blueberry Island	1917	0.83	1.0	nyp.33433082332077
OL4072428W	1	1	Bunny Brown and his sister Sue giving a show	1919	0.88	0.999	nc01.ark+=13960=t3224135m
